,precision,recall,f1-score,support
negative,0.9160477578264549,0.7918088737201365,0.8494094059190167,12306.0
positive,0.9624538366844481,0.9865849444920156,0.974370006602227,66567.0
accuracy,0.956195402736044,0.956195402736044,0.956195402736044,0.956195402736044
macro avg,0.9392507972554515,0.8891969091060761,0.9118897062606218,78873.0
weighted avg,0.9552134222659973,0.956195402736044,0.9548732820956457,78873.0
