,precision,recall,f1-score,support
negative,0.9130271084337349,0.7882333820900373,0.8460532054077627,12306.0
positive,0.9618162903485765,0.9861192482761729,0.973816164253501,66567.0
accuracy,0.9552445069922534,0.9552445069922534,0.9552445069922534,0.9552445069922534
macro avg,0.9374216993911557,0.8871763151831051,0.9099346848306319,78873.0
weighted avg,0.954204057104703,0.9552445069922534,0.9538822074931945,78873.0
