metric,mean,std,values
accuracy,0.9562689386735638,0.0009893021096461104,"[0.956195402736044, 0.9571589770897518, 0.9576027284368542, 0.9551430781129157, 0.9552445069922534]"
precision_macro,0.9388240079973482,0.0015741054796419198,"[0.9392507972554515, 0.9390974771652618, 0.9414020489376064, 0.9369480172372662, 0.9374216993911557]"
recall_macro,0.8899359807417209,0.002633495751381465,"[0.8891969091060761, 0.8933115337756616, 0.8927464428652869, 0.8872487027784743, 0.8871763151831051]"
f1_macro,0.9121492112392998,0.002120545788255805,"[0.9118897062606218, 0.914255317758997, 0.9148835396395469, 0.909782807706702, 0.9099346848306319]"
