class,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,support_mean,support_std
positive,0.9627424796203572,0.0008886009247832112,0.9863566031216668,0.00039499640192994657,0.9744063317644522,0.0005712390440279052,66567.0,0.0
negative,0.9149055363743394,0.002521119020053838,0.7935153583617748,0.005075279114391527,0.8498920907141475,0.003671341150243107,12306.0,0.0
